用户ID,商品ID,品牌,品牌ID,商品名称,商品类别,商品类目ID,行为类型,时间戳,售价
795205,7656052,苹果,849003,苹果iPhone 15 Pro Max 1TB 黑色,电子产品,1788515,buy,1512210239,6002.66
399105,8821418,资生堂,318919,资生堂红腰子精华 50ml,美妆护肤,7040903,pv,1512045742,870.74
889882,2044491,阿迪达斯,652847,阿迪达斯运动袜 3双装 绿色 XXL码,服装鞋帽,6347472,buy,1511863368,162.78
536822,4131957,资生堂,318919,资生堂防晒霜 50g,美妆护肤,7040903,buy,1511926488,267.94
732063,3197527,可口可乐,927706,可口可乐雪碧 330ml*24罐,食品饮料,7142910,buy,1511938052,56.19
124813,7317745,可口可乐,927706,可口可乐可乐 330ml*24罐,食品饮料,7142910,buy,1511838573,57.14
744274,3744636,华为,339116,华为MatePad Pro 12.6寸 i5/8GB/256GB,电子产品,1788515,buy,1512239349,4415.07
669408,1455106,宜家,593883,宜家办公椅 白色,家居用品,2884020,buy,1512065904,4253.85
651002,2889495,华硕,838697,华硕灵耀14 i5/16GB/512GB,电子产品,1788515,buy,1511811497,7916.2
288803,6910038,阿迪达斯,652847,阿迪达斯运动鞋 Ultraboost 22 蓝色 41码,服装鞋帽,6347472,buy,1512179450,695.67
273061,8477582,美的,528928,美的微波炉M3-L232F,家用电器,8888283,cart,1511827434,623.65
486649,1017947,格力,434092,格力变频冰箱 BCD-520WPQC,家用电器,8888283,cart,1512071497,7436.6
309044,2451693,海尔,571650,海尔冰箱BCD-535WDPC,家用电器,8888283,buy,1512152526,6767.84
478221,3111890,欧派,934621,欧派浴室柜 80cm 灰色,家居用品,2884020,buy,1512139775,2903.45
912085,920552,欧派,934621,欧派橱柜 3m L型 白色,家居用品,2884020,buy,1512121921,659.28
257131,7428837,欧派,934621,欧派岩板餐桌 1.4m 棕色,家居用品,2884020,buy,1511875149,2592.1
698128,2460387,戴尔,826566,戴尔XPS17 i9/32GB/2TB,电子产品,1788515,buy,1511911671,12166.08
201255,1988867,荣耀,111804,荣耀Magic6 Pro 512GB 紫色,电子产品,1788515,buy,1512261048,2037.51
461264,1695816,雅诗兰黛,430064,雅诗兰黛抗蓝光眼霜 15ml,美妆护肤,7040903,buy,1511850887,1833.92
519902,6675301,耐克,901589,耐克运动T恤 Dry Fit 黑色 XL码,服装鞋帽,6347472,buy,1511973644,202.05
185569,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,buy,1511874301,5765.1
970917,567938,华为,339116,华为Mate 60 Pro 512GB 黑色,电子产品,1788515,buy,1512039733,6226.75
366817,3117428,老板,109436,老板集成灶YKW-200-JZ,家用电器,8888283,buy,1511582950,4661.4
908977,6035084,方太,877093,方太侧吸油烟机 CXW-358-8230,家用电器,8888283,buy,1511832730,4089.03
913217,4893768,森马,329714,森马商务衬衫 红色 M码,服装鞋帽,6347472,buy,1511801721,160.67
117031,213997,VIVO,647850,VIVOX100 256GB 蓝色,电子产品,1788515,buy,1511634839,6667.81
289630,5954090,华硕,838697,华硕天选4 i7/16GB/1TB,电子产品,1788515,buy,1512314809,2346.39
787436,2460387,戴尔,826566,戴尔XPS17 i9/32GB/2TB,电子产品,1788515,buy,1512019414,12166.08
197251,2460387,戴尔,826566,戴尔XPS17 i9/32GB/2TB,电子产品,1788515,cart,1512305349,12166.08
614663,1462076,统一,188064,统一老坛酸菜面 120g*5袋,食品饮料,7142910,buy,1511978176,12.97
283568,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,buy,1511969417,176.21
879414,9386381,ZARA,1667,ZARA休闲外套 黄色 XL码,服装鞋帽,6347472,buy,1511934421,928.24
115474,8569010,蒙牛,124278,蒙牛特仑苏 250ml*12盒,食品饮料,7142910,buy,1511829803,44.26
792764,4131957,资生堂,318919,资生堂防晒霜 50g,美妆护肤,7040903,buy,1511786436,267.94
835716,3715670,统一,188064,百事美年达 330ml*24罐,食品饮料,7142910,buy,1511901591,38.77
378361,6390460,伊利,353571,伊利纯牛奶 250ml*24盒,食品饮料,7142910,buy,1511866776,86.37
725905,2369032,联想,436330,联想小新Pro16 i7/16GB/1TB,电子产品,1788515,buy,1511949195,12742.0
900581,1458656,三星,517820,三星Galaxy S24 Ultra 1TB 黑色,电子产品,1788515,buy,1512091071,14990.7
908554,4166112,全友,2509,全友板式床 1.5m 棕色,家居用品,2884020,buy,1512104086,3824.76
456385,6675301,耐克,901589,耐克运动T恤 Dry Fit 黑色 XL码,服装鞋帽,6347472,buy,1512139582,202.05
439320,3056490,优衣库,166135,优衣库修身牛仔裤 白色 XL码,服装鞋帽,6347472,buy,1512060578,172.61
746467,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,buy,1511864031,5765.1
810687,3250465,海尔,571650,海尔洗衣机G100368HBD14LSU1,家用电器,8888283,buy,1511889152,4195.69
294760,3061679,统一,188064,统一汤达人 130g*5袋,食品饮料,7142910,buy,1512137613,36.19
807166,413384,戴尔,826566,戴尔XPS15 i7/32GB/2TB,电子产品,1788515,buy,1511996528,14348.67
477017,6675301,耐克,901589,耐克运动T恤 Dry Fit 黑色 XL码,服装鞋帽,6347472,pv,1511779631,202.05
444432,8477582,美的,528928,美的微波炉M3-L232F,家用电器,8888283,buy,1511945622,623.65
217659,7428837,欧派,934621,欧派岩板餐桌 1.4m 棕色,家居用品,2884020,buy,1511955898,2592.1
964998,6390460,伊利,353571,伊利纯牛奶 250ml*24盒,食品饮料,7142910,pv,1511923900,86.37
974628,5667640,李宁,693143,李宁篮球鞋 音速11 白色 43码,服装鞋帽,6347472,buy,1512105371,567.92
782661,1723455,宜家,593883,宜家毕利书架 80cm 白色,家居用品,2884020,buy,1512017514,451.79
814281,9868789,蒙牛,124278,蒙牛纯牛奶 250ml*24盒,食品饮料,7142910,buy,1511745198,62.87
462659,6770816,顾家,257671,顾家真皮沙发 3人位 黑色,家居用品,2884020,buy,1511826969,10064.02
722565,7954204,太平鸟,295499,太平鸟商务衬衫 白色 L码,服装鞋帽,6347472,cart,1512120069,429.08
853240,9338792,优衣库,166135,优衣库T恤 圆领纯棉 黑色 M码,服装鞋帽,6347472,buy,1512057788,227.12
283573,5880233,GAP,207780,GAP外套 牛仔夹克 棕色 M码,服装鞋帽,6347472,buy,1511948648,678.31
808446,7646024,ZARA,1667,ZARA商务衬衫 白色 M码,服装鞋帽,6347472,buy,1511898778,314.05
929683,4447443,老板,109436,老板油烟机CXW-260-27A3,家用电器,8888283,buy,1511844865,4673.99
488984,1983260,方太,877093,方太燃气灶JZT-HA7B,家用电器,8888283,buy,1511731383,1650.54
502810,6998086,资生堂,318919,资生堂悦薇面霜 50ml,美妆护肤,7040903,pv,1511755646,1319.95
738551,4519006,太平鸟,295499,太平鸟直筒牛仔裤 红色 XXL码,服装鞋帽,6347472,pv,1511992712,384.76
461145,5363058,西门子,718578,西门子洗衣机WM14U561HW,家用电器,8888283,buy,1512286361,5062.98
276405,3056490,优衣库,166135,优衣库修身牛仔裤 白色 XL码,服装鞋帽,6347472,buy,1511958085,172.61
531319,4764666,蒙牛,124278,百事纯水乐 550ml*24瓶,食品饮料,7142910,buy,1511793860,71.15
449555,4764854,雅诗兰黛,430064,雅诗兰黛小棕瓶精华 50ml,美妆护肤,7040903,buy,1511714705,2753.62
105814,9338792,优衣库,166135,优衣库T恤 圆领纯棉 黑色 M码,服装鞋帽,6347472,buy,1512097429,227.12
494976,3928639,H&M,912310,H&M女士连衣裙 白色 M码,服装鞋帽,6347472,buy,1511939556,335.8
680238,3744636,华为,339116,华为MatePad Pro 12.6寸 i5/8GB/256GB,电子产品,1788515,buy,1512101804,4415.07
618019,9772295,兰蔻,783723,兰蔻眼霜 15ml,美妆护肤,7040903,buy,1512137023,1833.71
838237,4603543,康师傅,358953,康师傅鲜虾鱼板面 100g*5袋,食品饮料,7142910,buy,1512012499,26.95
261859,7423681,全友,2509,全友餐桌 1.2m 灰色,家居用品,2884020,buy,1512049439,2649.18
594379,1660574,耐克,901589,耐克运动袜 3双装 红色 XL码,服装鞋帽,6347472,buy,1512145287,399.74
662093,2451693,海尔,571650,海尔冰箱BCD-535WDPC,家用电器,8888283,buy,1511878569,6767.84
714867,7646024,ZARA,1667,ZARA商务衬衫 白色 M码,服装鞋帽,6347472,pv,1512008410,314.05
160541,3071935,太平鸟,295499,太平鸟连衣裙 红色 XXL码,服装鞋帽,6347472,buy,1511689548,640.94
517500,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,buy,1511858780,176.21
106182,9879328,宜家,593883,宜家马尔姆床 1.5m 白色,家居用品,2884020,buy,1512054215,1948.33
398151,6035084,方太,877093,方太侧吸油烟机 CXW-358-8230,家用电器,8888283,buy,1511813522,4089.03
143860,7780646,兰蔻,783723,兰蔻精华液 30ml,美妆护肤,7040903,fav,1511966233,2632.79
147504,7755662,雅诗兰黛,430064,雅诗兰黛红石榴面霜 50ml,美妆护肤,7040903,buy,1511908088,972.88
479430,7149676,优衣库,166135,优衣库外套 轻型羽绒 灰色 XXL码,服装鞋帽,6347472,buy,1511684311,716.77
872840,4131957,资生堂,318919,资生堂防晒霜 50g,美妆护肤,7040903,buy,1511875253,267.94
488028,1599816,美的,528928,美的电视85Q10G Pro,家用电器,8888283,buy,1511888320,1259.4
350956,1723455,宜家,593883,宜家毕利书架 80cm 白色,家居用品,2884020,pv,1511985704,451.79
792282,3928639,H&M,912310,H&M女士连衣裙 白色 M码,服装鞋帽,6347472,buy,1511601340,335.8
891615,204773,GAP,207780,GAP牛仔裤 直筒款 黑色 32码,服装鞋帽,6347472,buy,1512026164,303.67
374258,3787731,美的,528928,美的冰箱BCD-638WKPZM(E),家用电器,8888283,fav,1512049138,3261.4
881667,5880233,GAP,207780,GAP外套 牛仔夹克 棕色 M码,服装鞋帽,6347472,buy,1511874623,678.31
740255,1599816,美的,528928,美的电视85Q10G Pro,家用电器,8888283,buy,1511934407,1259.4
470037,3576892,欧莱雅,363490,欧莱雅面霜 50ml,美妆护肤,7040903,buy,1511799715,1897.44
988324,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,buy,1512191487,176.21
240606,8821418,资生堂,318919,资生堂红腰子精华 50ml,美妆护肤,7040903,buy,1511967181,870.74
536802,9922972,小米,307716,小米14 Ultra 1TB 白色,电子产品,1788515,buy,1511640898,3918.36
536196,5708649,欧莱雅,363490,欧莱雅精华液 30ml,美妆护肤,7040903,buy,1512017473,1814.26
219169,3787731,美的,528928,美的冰箱BCD-638WKPZM(E),家用电器,8888283,pv,1511722883,3261.4
528728,4083974,小米,307716,小米Pad 6 Pro 8GB/256GB,电子产品,1788515,buy,1511877365,5115.64
386488,701828,VIVO,647850,VIVOX100 Pro 512GB 钛色,电子产品,1788515,buy,1512288616,2699.06
874524,413384,戴尔,826566,戴尔XPS15 i7/32GB/2TB,电子产品,1788515,buy,1511762429,14348.67
130094,6619218,GAP,207780,GAP卫衣 连帽款 蓝色 XL码,服装鞋帽,6347472,buy,1511896790,185.4
477017,5363058,西门子,718578,西门子洗衣机WM14U561HW,家用电器,8888283,buy,1511720061,5062.98
774558,7317745,可口可乐,927706,可口可乐可乐 330ml*24罐,食品饮料,7142910,buy,1512175402,57.14
430776,2288023,森马,329714,森马休闲外套 棕色 XL码,服装鞋帽,6347472,buy,1512018629,605.03
356773,3071935,太平鸟,295499,太平鸟连衣裙 红色 XXL码,服装鞋帽,6347472,buy,1511852870,640.94
993085,3609082,三星,517820,三星Galaxy Z Flip5 256GB,电子产品,1788515,buy,1511731050,7568.58
504924,6440356,苹果,849003,苹果MacBook Pro M2 16GB/512GB,电子产品,1788515,buy,1512122507,10230.41
840734,7960554,荣耀,111804,荣耀Magic6 128GB 黑色,电子产品,1788515,buy,1511994577,3311.19
523389,2565212,ZARA,1667,ZARA修身牛仔裤 绿色 L码,服装鞋帽,6347472,cart,1511847463,203.03
757685,7317745,可口可乐,927706,可口可乐可乐 330ml*24罐,食品饮料,7142910,buy,1511688321,57.14
507746,9879328,宜家,593883,宜家马尔姆床 1.5m 白色,家居用品,2884020,buy,1511849303,1948.33
421384,148563,统一,188064,统一绿茶 500ml*12瓶,食品饮料,7142910,buy,1511883413,55.47
550770,274404,方太,877093,方太洗碗机JBSD2T-X1S,家用电器,8888283,buy,1511912271,775.68
805668,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,buy,1511783837,176.21
245622,2392644,优衣库,166135,优衣库衬衫 牛津纺 蓝色 L码,服装鞋帽,6347472,buy,1512273395,226.09
800674,1975934,安踏,179263,安踏运动服 冠军系列 灰色 L码,服装鞋帽,6347472,buy,1511991196,219.34
466960,2654249,老板,109436,老板集成灶S2系列,家用电器,8888283,buy,1511969991,3723.78
468727,9213213,蒙牛,124278,蒙牛早餐奶 250ml*16盒,食品饮料,7142910,buy,1511774206,87.16
842411,7088888,顾家,257671,顾家餐桌 1.4m 原木色,家居用品,2884020,fav,1512041711,3672.27
833442,6448942,伊利,353571,伊利QQ星 125ml*20盒,食品饮料,7142910,buy,1512181429,26.02
908475,9109970,森马,329714,森马T恤 圆领款 黑色 S码,服装鞋帽,6347472,buy,1511944914,65.5
705050,8771005,ZARA,1667,ZARA基础款T恤 灰色 S码,服装鞋帽,6347472,buy,1512004246,79.73
865990,8821418,资生堂,318919,资生堂红腰子精华 50ml,美妆护肤,7040903,buy,1512358199,870.74
684482,5491240,老板,109436,老板消毒柜ZTD100S-W727,家用电器,8888283,pv,1511630347,2298.27
283700,1015679,宜家,593883,宜家书桌 1.2m 白色,家居用品,2884020,buy,1512247409,3606.76
418897,5277473,康师傅,358953,康师傅红烧牛肉面 100g*5袋,食品饮料,7142910,buy,1511748763,14.29
608136,1041272,伊利,353571,百事七喜 330ml*24罐,食品饮料,7142910,buy,1512151703,22.71
135207,1975934,安踏,179263,安踏运动服 冠军系列 灰色 L码,服装鞋帽,6347472,buy,1511782074,219.34
862569,1697102,安踏,179263,安踏运动外套 防风系列 蓝色 XL码,服装鞋帽,6347472,buy,1511950054,557.15
392136,1280459,荣耀,111804,荣耀Magic6 Pro Max 512GB 黑色,电子产品,1788515,buy,1511889901,6118.18
902784,5667640,李宁,693143,李宁篮球鞋 音速11 白色 43码,服装鞋帽,6347472,buy,1511961134,567.92
882354,7755662,雅诗兰黛,430064,雅诗兰黛红石榴面霜 50ml,美妆护肤,7040903,buy,1511955459,972.88
835244,319015,顾家,257671,顾家储物床 1.5m 棕色,家居用品,2884020,buy,1512231407,2745.01
551914,9213213,蒙牛,124278,蒙牛早餐奶 250ml*16盒,食品饮料,7142910,buy,1511765241,87.16
188813,4083974,小米,307716,小米Pad 6 Pro 8GB/256GB,电子产品,1788515,buy,1512008399,5115.64
424308,5189819,兰蔻,783723,兰蔻粉底液 自然色 30ml,美妆护肤,7040903,pv,1512206905,1329.63
242254,1280459,荣耀,111804,荣耀Magic6 Pro Max 512GB 黑色,电子产品,1788515,buy,1512044982,6118.18
271339,4131957,资生堂,318919,资生堂防晒霜 50g,美妆护肤,7040903,pv,1512035773,267.94
853252,8359777,安踏,179263,安踏运动袜 3双装 黄色 XL码,服装鞋帽,6347472,buy,1511930616,97.74
223119,6998086,资生堂,318919,资生堂悦薇面霜 50ml,美妆护肤,7040903,buy,1511813773,1319.95
517643,1015679,宜家,593883,宜家书桌 1.2m 白色,家居用品,2884020,buy,1511626379,3606.76
972097,9435421,康师傅,358953,康师傅绿茶 500ml*12瓶,食品饮料,7142910,buy,1511713641,53.31
820775,2654249,老板,109436,老板集成灶S2系列,家用电器,8888283,buy,1511945069,3723.78
703727,5596741,西门子,718578,西门子冰箱KA92NV02TI,家用电器,8888283,buy,1512099410,5730.1
734356,7611004,索菲亚,803490,索菲亚推拉门衣柜 2.2m 黑色,家居用品,2884020,buy,1511923558,4644.84
689107,2388951,蒙牛,124278,蒙牛酸奶 200g*12杯,食品饮料,7142910,buy,1511755613,19.32
446954,3077079,华硕,838697,华硕ROG枪神7 i9/32GB/2TB,电子产品,1788515,buy,1511866787,3031.17
120422,4073737,VIVO,647850,VIVOX100 Pro 128GB 蓝色,电子产品,1788515,buy,1512281412,6329.2
895667,8569010,蒙牛,124278,蒙牛特仑苏 250ml*12盒,食品饮料,7142910,buy,1511778299,44.26
353480,6998086,资生堂,318919,资生堂悦薇面霜 50ml,美妆护肤,7040903,buy,1512171281,1319.95
559381,9879328,宜家,593883,宜家马尔姆床 1.5m 白色,家居用品,2884020,buy,1512078647,1948.33
245939,567938,华为,339116,华为Mate 60 Pro 512GB 黑色,电子产品,1788515,cart,1511823301,6226.75
729577,4658925,方太,877093,方太消毒柜ZTD100F-WH,家用电器,8888283,buy,1511848356,803.22
471496,5708649,欧莱雅,363490,欧莱雅精华液 30ml,美妆护肤,7040903,cart,1512288701,1814.26
934904,6068189,三星,517820,三星Galaxy Tab S9 12GB/512GB,电子产品,1788515,buy,1512280696,16932.36
884256,4603543,康师傅,358953,康师傅鲜虾鱼板面 100g*5袋,食品饮料,7142910,buy,1512290956,26.95
402218,7594339,西门子,718578,西门子洗碗机SJ236I00JC,家用电器,8888283,pv,1511652747,1103.42
754858,1280459,荣耀,111804,荣耀Magic6 Pro Max 512GB 黑色,电子产品,1788515,buy,1511748267,6118.18
248766,7646024,ZARA,1667,ZARA商务衬衫 白色 M码,服装鞋帽,6347472,buy,1512100008,314.05
127032,1975934,安踏,179263,安踏运动服 冠军系列 灰色 L码,服装鞋帽,6347472,buy,1511936284,219.34
689107,450016,资生堂,318919,资生堂洗面奶 120g,美妆护肤,7040903,buy,1511900183,644.72
391704,4893768,森马,329714,森马商务衬衫 红色 M码,服装鞋帽,6347472,buy,1512014982,160.67
681478,6675301,耐克,901589,耐克运动T恤 Dry Fit 黑色 XL码,服装鞋帽,6347472,pv,1512103634,202.05
583550,148563,统一,188064,统一绿茶 500ml*12瓶,食品饮料,7142910,buy,1512250416,55.47
941814,1462076,统一,188064,统一老坛酸菜面 120g*5袋,食品饮料,7142910,buy,1511932745,12.97
303440,7960554,荣耀,111804,荣耀Magic6 128GB 黑色,电子产品,1788515,buy,1511958261,3311.19
129556,4605552,海尔,571650,海尔空调KFR-72LW/08LCA81U1,家用电器,8888283,cart,1511801337,6158.56
433632,9386381,ZARA,1667,ZARA休闲外套 黄色 XL码,服装鞋帽,6347472,buy,1512123738,928.24
886730,9338792,优衣库,166135,优衣库T恤 圆领纯棉 黑色 M码,服装鞋帽,6347472,buy,1512055021,227.12
594514,701828,VIVO,647850,VIVOX100 Pro 512GB 钛色,电子产品,1788515,buy,1511806366,2699.06
468623,2288023,森马,329714,森马休闲外套 棕色 XL码,服装鞋帽,6347472,pv,1512029705,605.03
669827,8771005,ZARA,1667,ZARA基础款T恤 灰色 S码,服装鞋帽,6347472,pv,1512038382,79.73
747850,3794624,耐克,901589,耐克运动长裤 Tech Fleece 灰色 L码,服装鞋帽,6347472,buy,1511910609,584.25
260263,9028628,可口可乐,927706,可口可乐芬达 330ml*24罐,食品饮料,7142910,pv,1512084909,76.63
814827,8758579,迪奥,822650,迪奥粉底液 010 30ml,美妆护肤,7040903,buy,1512014704,397.75
885395,3061679,统一,188064,统一汤达人 130g*5袋,食品饮料,7142910,buy,1511814941,36.19
480303,1017947,格力,434092,格力变频冰箱 BCD-520WPQC,家用电器,8888283,buy,1511941334,7436.6
934042,3715670,统一,188064,百事美年达 330ml*24罐,食品饮料,7142910,buy,1512112853,38.77
670053,7960554,荣耀,111804,荣耀Magic6 128GB 黑色,电子产品,1788515,buy,1512136623,3311.19
535686,5667640,李宁,693143,李宁篮球鞋 音速11 白色 43码,服装鞋帽,6347472,pv,1512017482,567.92
148458,4764666,蒙牛,124278,百事纯水乐 550ml*24瓶,食品饮料,7142910,buy,1511631990,71.15
912617,3744636,华为,339116,华为MatePad Pro 12.6寸 i5/8GB/256GB,电子产品,1788515,pv,1512198477,4415.07
309044,413384,戴尔,826566,戴尔XPS15 i7/32GB/2TB,电子产品,1788515,pv,1511950981,14348.67
626611,1983260,方太,877093,方太燃气灶JZT-HA7B,家用电器,8888283,cart,1511888140,1650.54
112038,2369032,联想,436330,联想小新Pro16 i7/16GB/1TB,电子产品,1788515,buy,1511999042,12742.0
678805,9109970,森马,329714,森马T恤 圆领款 黑色 S码,服装鞋帽,6347472,pv,1511989887,65.5
267758,5551267,伊利,353571,伊利金典 250ml*12盒,食品饮料,7142910,buy,1511874937,95.96
792509,3412254,欧派,934621,欧派北欧风双人床 1.8m 米色,家居用品,2884020,fav,1511718224,2497.56
595631,2654249,老板,109436,老板集成灶S2系列,家用电器,8888283,buy,1512187843,3723.78
177794,2460387,戴尔,826566,戴尔XPS17 i9/32GB/2TB,电子产品,1788515,buy,1511905616,12166.08
399449,2460387,戴尔,826566,戴尔XPS17 i9/32GB/2TB,电子产品,1788515,buy,1511982915,12166.08
268637,2501551,H&M,912310,H&M休闲裤 黑色 L码,服装鞋帽,6347472,buy,1511605042,50.18
943671,1723455,宜家,593883,宜家毕利书架 80cm 白色,家居用品,2884020,buy,1511749045,451.79
492077,6998086,资生堂,318919,资生堂悦薇面霜 50ml,美妆护肤,7040903,buy,1511895671,1319.95
856442,5769243,美的,528928,美的空调KFR-35GW/N8HE1,家用电器,8888283,buy,1511995726,3566.12
906306,4964744,戴尔,826566,戴尔游匣G15 i7/16GB/1TB,电子产品,1788515,buy,1511916228,7884.27
288667,6675301,耐克,901589,耐克运动T恤 Dry Fit 黑色 XL码,服装鞋帽,6347472,buy,1512221411,202.05
870925,2565212,ZARA,1667,ZARA修身牛仔裤 绿色 L码,服装鞋帽,6347472,buy,1511950548,203.03
851413,9028628,可口可乐,927706,可口可乐芬达 330ml*24罐,食品饮料,7142910,cart,1512027145,76.63
726928,9553189,伊利,353571,伊利安慕希 205g*12杯,食品饮料,7142910,buy,1511861270,52.38
963539,701828,VIVO,647850,VIVOX100 Pro 512GB 钛色,电子产品,1788515,buy,1512041778,2699.06
817870,1116721,全友,2509,全友书柜 1.8m 白色,家居用品,2884020,buy,1511950113,4784.11
644173,4603543,康师傅,358953,康师傅鲜虾鱼板面 100g*5袋,食品饮料,7142910,buy,1512109705,26.95
602248,9879328,宜家,593883,宜家马尔姆床 1.5m 白色,家居用品,2884020,buy,1512030547,1948.33
711046,9338792,优衣库,166135,优衣库T恤 圆领纯棉 黑色 M码,服装鞋帽,6347472,pv,1512048522,227.12
777273,5394778,索菲亚,803490,索菲亚茶几 80cm 米色,家居用品,2884020,buy,1511851914,2372.87
452457,3250465,海尔,571650,海尔洗衣机G100368HBD14LSU1,家用电器,8888283,buy,1511985688,4195.69
133782,8758579,迪奥,822650,迪奥粉底液 010 30ml,美妆护肤,7040903,buy,1511918140,397.75
944657,1293769,欧莱雅,363490,欧莱雅复颜面膜 10片装,美妆护肤,7040903,buy,1512233036,512.83
309159,567938,华为,339116,华为Mate 60 Pro 512GB 黑色,电子产品,1788515,buy,1511738746,6226.75
223119,7755662,雅诗兰黛,430064,雅诗兰黛红石榴面霜 50ml,美妆护肤,7040903,buy,1512186278,972.88
201639,2501551,H&M,912310,H&M休闲裤 黑色 L码,服装鞋帽,6347472,buy,1511963930,50.18
364236,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,buy,1512006495,5765.1
696750,5708649,欧莱雅,363490,欧莱雅精华液 30ml,美妆护肤,7040903,buy,1512091403,1814.26
582446,3197527,可口可乐,927706,可口可乐雪碧 330ml*24罐,食品饮料,7142910,buy,1511892333,56.19
677390,3744636,华为,339116,华为MatePad Pro 12.6寸 i5/8GB/256GB,电子产品,1788515,buy,1512256644,4415.07
662761,3753127,李宁,693143,李宁跑步鞋 赤兔6 黑色 42码,服装鞋帽,6347472,cart,1511886731,426.81
344907,5708649,欧莱雅,363490,欧莱雅精华液 30ml,美妆护肤,7040903,fav,1512075747,1814.26
619389,4912883,迪奥,822650,迪奥香水 花香调 50ml,美妆护肤,7040903,buy,1512005310,577.74
886931,4605552,海尔,571650,海尔空调KFR-72LW/08LCA81U1,家用电器,8888283,buy,1512071327,6158.56
678856,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,pv,1512028813,5765.1
416232,6068189,三星,517820,三星Galaxy Tab S9 12GB/512GB,电子产品,1788515,cart,1511959560,16932.36
360222,3335552,索菲亚,803490,索菲亚餐椅 原木色,家居用品,2884020,fav,1511731974,320.84
138551,1437674,苹果,849003,苹果iPad Pro 12.9寸 1TB,电子产品,1788515,pv,1511955494,3818.54
748052,3077079,华硕,838697,华硕ROG枪神7 i9/32GB/2TB,电子产品,1788515,cart,1512281251,3031.17
587623,1723455,宜家,593883,宜家毕利书架 80cm 白色,家居用品,2884020,buy,1512059827,451.79
698384,9028628,可口可乐,927706,可口可乐芬达 330ml*24罐,食品饮料,7142910,cart,1512038279,76.63
941204,6440356,苹果,849003,苹果MacBook Pro M2 16GB/512GB,电子产品,1788515,buy,1511786602,10230.41
745270,2369032,联想,436330,联想小新Pro16 i7/16GB/1TB,电子产品,1788515,buy,1512177879,12742.0
813328,3576892,欧莱雅,363490,欧莱雅面霜 50ml,美妆护肤,7040903,pv,1512039535,1897.44
583000,6390460,伊利,353571,伊利纯牛奶 250ml*24盒,食品饮料,7142910,pv,1511973063,86.37
800280,6068189,三星,517820,三星Galaxy Tab S9 12GB/512GB,电子产品,1788515,buy,1511727584,16932.36
593355,3794624,耐克,901589,耐克运动长裤 Tech Fleece 灰色 L码,服装鞋帽,6347472,buy,1511670965,584.25
